Unnamed: 0,Time,Athletes,Meet,Meet Date
,3:26.45,"Banks, Fulgoni, Kolacia, Moorehead",Kip Janvrin Open,"Apr 25, 2013"
,3:27.40,"Banks, Garwood, Fulgoni, Moorehead",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,3:28.09,"Banks, Fulgoni, Kolacia, Moorehead",2013 Monmouth Fighting Scots,"May 4, 2013"
,3:28.83,"Banks, Fulgoni, Kolacia, Moorehead",2013 Jim Duncan Invitational,"Apr 12, 2013"
,3:29.07,"Banks, Garwood, Kolacia, Moorehead",Cornell College Invitational,"Apr 6, 2013"
,3:29.57,"Banks, Fulgoni, Kolacia, Moorehead",Central College Open,"Apr 20, 2013"
,3:32.81,"Banks, Garwood, Kolacia, Angel",Walt Disney World Invitational,"Mar 22, 2013"
,3:40.90,"Garwood, Angel, Tyree, Shields",Central College Open,"Apr 20, 2013"
,3:44.79,"Fulgoni, Romeo, Angel, Krauth",Cornell College Invitational,"Apr 6, 2013"
,3:48.64,"Garwood, Tyree, Angel, Mothershead",2013 Monmouth Fighting Scots,"May 4, 2013"
