Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Romeo, Dixon",FR-1,22.66,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013",0.6
,"Romeo, Dixon",FR-1,23.43,Central College Open,"Apr 20, 2013",0.0
,"Romeo, Dixon",FR-1,23.43,Kip Janvrin Open,"Apr 25, 2013",1.3
,"Edwards, Ronald",JR-3,23.66,Cornell College Invitational,"Apr 6, 2013",-0.5
,"Banks, Quinton",SR-4,23.67,2013 Monmouth Fighting Scots,"May 4, 2013",1.0
,"Edwards, Ronald",JR-3,23.69,Central College Open,"Apr 20, 2013",1.9
,"Hardman, Ed",FR-1,23.73,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013",-0.1
,"Edwards, Ronald",JR-3,23.77,Kip Janvrin Open,"Apr 25, 2013",1.3
,"Hardman, Ed",FR-1,23.88,Cornell College Invitational,"Apr 6, 2013",-0.5
,"Banks, Quinton",SR-4,23.93,2013 Jim Duncan Invitational,"Apr 12, 2013",-1.8
,"Garwood, David",SR-4,24.01,Kip Janvrin Open,"Apr 25, 2013",1.3
,"Romeo, Dixon",FR-1,24.16,Cornell College Invitational,"Apr 6, 2013",1.0
,"Romeo, Dixon",FR-1,24.47,2013 Monmouth Fighting Scots,"May 4, 2013",0.8
,"Garwood, David",SR-4,24.53,2013 Jim Duncan Invitational,"Apr 12, 2013",-1.8
,"Woodington, Chris",SO-2,25.28,Central College Open,"Apr 20, 2013",0.0
,"Conwell, Tim",FR-1,25.47,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013",1.2
,"Woodington, Chris",SO-2,25.92,Cornell College Invitational,"Apr 6, 2013",1.7
,"Conwell, Tim",FR-1,26.09,2013 Monmouth Fighting Scots,"May 4, 2013",-0.4
,"Conwell, Tim",FR-1,26.15,Central College Open,"Apr 20, 2013",0.0
,"Conwell, Tim",FR-1,26.46,Cornell College Invitational,"Apr 6, 2013",1.7
,"Hernandez, Luis",SO-2,26.52,Central College Open,"Apr 20, 2013",0.0
,"Hernandez, Luis",SO-2,26.99,2013 Monmouth Fighting Scots,"May 4, 2013",-0.4
,"Hernandez, Luis",SO-2,27.35,Cornell College Invitational,"Apr 6, 2013",1.7
,"Vaughn, Ben",SO-2,27.42,2013 Monmouth Fighting Scots,"May 4, 2013",-0.4
,"Hernandez, Luis",SO-2,27.48,Walt Disney World Invitational,"Mar 22, 2013",1.4
,"Takatsuka, Kohei",SR-4,28.18,2013 Monmouth Fighting Scots,"May 4, 2013",-0.4
