Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Romeo, Dixon",FR-1,11.27,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013",-0.2
,"Romeo, Dixon",FR-1,11.39,2013 Monmouth Fighting Scots,"May 4, 2013",1.5
,"Romeo, Dixon",FR-1,11.41,Cornell College Invitational,"Apr 6, 2013",2.0
,"Hardman, Ed",FR-1,11.55,Cornell College Invitational,"Apr 6, 2013",1.6
,"Fulgoni, Gus",SO-2,11.68,Cornell College Invitational,"Apr 6, 2013",2.0
,"Romeo, Dixon",FR-1,11.7,Central College Open,"Apr 20, 2013",0.4
,"Hardman, Ed",FR-1,11.74,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013",1.8
,"Hardman, Ed",FR-1,11.81,Kip Janvrin Open,"Apr 25, 2013",1.3
,"Edwards, Ronald",JR-3,11.92,Central College Open,"Apr 20, 2013",-1.6
,"Warnock, Gavin",JR-3,12.03,Central College Open,"Apr 20, 2013",-2.3
,"Garwood, David",SR-4,12.05,Central College Open,"Apr 20, 2013",0.9
,"Hardman, Ed",FR-1,12.07,2013 Monmouth Fighting Scots,"May 4, 2013",1.5
,"Woodington, Chris",SO-2,12.34,Cornell College Invitational,"Apr 6, 2013",1.7
,"Lindstrom, Jake",JR-3,12.48,2013 Jim Duncan Invitational,"Apr 12, 2013",1.6
,"Woodington, Chris",SO-2,12.7,Central College Open,"Apr 20, 2013",0.4
,"Lindstrom, Jake",JR-3,12.74,Cornell College Invitational,"Apr 6, 2013",1.7
,"Hernandez, Luis",SO-2,12.89,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013",-0.2
,"Hernandez, Luis",SO-2,12.92,2013 Jim Duncan Invitational,"Apr 12, 2013",1.6
,"Hernandez, Luis",SO-2,12.92,Cornell College Invitational,"Apr 6, 2013",1.2
,"Conwell, Tim",FR-1,12.94,2013 Monmouth Fighting Scots,"May 4, 2013",1.9
,"Hernandez, Luis",SO-2,12.94,2013 Monmouth Fighting Scots,"May 4, 2013",1.9
,"Takatsuka, Kohei",SR-4,13.06,2013 Monmouth Fighting Scots,"May 4, 2013",1.9
,"Vaughn, Ben",SO-2,13.12,Cornell College Invitational,"Apr 6, 2013",1.2
,"Takatsuka, Kohei",SR-4,13.3,Cornell College Invitational,"Apr 6, 2013",1.2
,"Hernandez, Luis",SO-2,13.32,Central College Open,"Apr 20, 2013",-0.7
,"Davis, Ryan",FR-1,13.57,Central College Open,"Apr 20, 2013",0.5
,"Takatsuka, Kohei",SR-4,13.63,Central College Open,"Apr 20, 2013",0.4
