Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Braun, Zev",SO-2,48.80m,"160' 1""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Braun, Zev",SO-2,47.69m,"156' 5""",Cornell College Invitational,"Apr 6, 2013"
,"Braun, Zev",SO-2,46.28m,"151' 10""",Central College Open,"Apr 20, 2013"
,"Braun, Zev",SO-2,44.79m,"146' 11""",Central College Open,"Apr 20, 2013"
,"Braun, Zev",SO-2,44.77m,"146' 10""",Cornell College Invitational,"Apr 6, 2013"
,"Braun, Zev",SO-2,44.51m,"146' 0""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Braun, Zev",SO-2,44.24m,"145' 2""",Central College Open,"Apr 20, 2013"
,"Braun, Zev",SO-2,43.37m,"142' 3""",Central College Open,"Apr 20, 2013"
,"Braun, Zev",SO-2,42.88m,"140' 8""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Braun, Zev",SO-2,42.68m,"140' 0""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Braun, Zev",SO-2,42.11m,"138' 2""",Cornell College Invitational,"Apr 6, 2013"
,"Braun, Zev",SO-2,41.22m,"135' 3""",Cornell College Invitational,"Apr 6, 2013"
,"Braun, Zev",SO-2,40.39m,"132' 6""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Braun, Zev",SO-2,39.25m,"128' 9""",Central College Open,"Apr 20, 2013"
,"Woodington, Chris",SO-2,38.58m,"126' 7""",Central College Open,"Apr 20, 2013"
,"Woodington, Chris",SO-2,37.71m,"123' 9""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Braun, Zev",SO-2,37.51m,"123' 1""",Cornell College Invitational,"Apr 6, 2013"
,"Harris, Joe",,34.84m,"114' 4""",Central College Open,"Apr 20, 2013"
,"Woodington, Chris",SO-2,34.37m,"112' 9""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Harris, Joe",,33.95m,"111' 5""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Woodington, Chris",SO-2,33.74m,"110' 8""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Woodington, Chris",SO-2,33.68m,"110' 6""",Central College Open,"Apr 20, 2013"
,"Woodington, Chris",SO-2,33.52m,"110' 0""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Woodington, Chris",SO-2,33.32m,"109' 4""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Woodington, Chris",SO-2,31.65m,"103' 10""",Central College Open,"Apr 20, 2013"
,"Woodington, Chris",SO-2,30.65m,"100' 7""",Cornell College Invitational,"Apr 6, 2013"
,"Woodington, Chris",SO-2,30.06m,"98' 7""",Cornell College Invitational,"Apr 6, 2013"
,"Woodington, Chris",SO-2,29.69m,"97' 5""",Cornell College Invitational,"Apr 6, 2013"
,"Serunjogi, Tefiro",SO-2,25.06m,"82' 3""",Cornell College Invitational,"Apr 6, 2013"
,"Serunjogi, Tefiro",SO-2,23.45m,"76' 11""",Cornell College Invitational,"Apr 6, 2013"
,"Serunjogi, Tefiro",SO-2,20.20m,"66' 3""",Cornell College Invitational,"Apr 6, 2013"
