Statistic,High,Opponent
AT BATS,48,Knox (4/13/2024)
RUNS SCORED,18,Knox (4/14/2024)
HITS,17,Monmouth (Ill.) (3/30/2024); Knox (4/14/2024); Cornell College (4/10/2024)
RBIS,18,Knox (4/14/2024)
DOUBLES,5,Monmouth (Ill.) (3/30/2024); Elmhurst (3/10/2024)
TRIPLES,2,Monmouth (Ill.) (3/30/2024); Elmhurst (3/10/2024)
HOME RUNS,4,Westminster (Mo.) (3/3/2024)
WALKS,10,Monmouth (Ill.) (3/30/2024)
STRIKEOUTS,15,Wartburg (3/9/2024)
SAC HITS,3,Rhodes (3/17/2024)
SAC FLIES,2,Knox (4/14/2024); Westminster (Mo.) (3/2/2024)
STOLEN BASES,5,Monmouth (Ill.) (3/30/2024)
HIT BY PITCH,6,Neb. Wesleyan (2/24/2024)
CAUGHT STEALING,2,Asbury (3/16/2024); Neb. Wesleyan (2/24/2024); Cornell College (4/8/2024)
HIT INTO DP,4,Illinois Col. (5/5/2024)
