#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
26.0,"Watts, Kelton 26Watts, Kelton",0.5,1.227,7-5,22,3,11,2,0,1,4,16,0.727,0,0,3,0,0.5,0,0,0-0,View Bio
30.0,"Ruden, Nikolas 30Ruden, Nikolas",0.419,1.011,14-14,62,20,26,7,0,0,8,33,0.532,5,3,13,0,0.479,1,0,4-6,View Bio
27.0,"Richardson, Sean 27Richardson, Sean",0.413,0.984,19-18,80,24,33,4,0,1,16,40,0.5,11,1,10,0,0.484,1,1,4-7,View Bio
13.0,"Crawford, Ethan 13Crawford, Ethan",0.379,1.264,18-17,66,17,25,4,1,7,34,52,0.788,2,12,12,1,0.476,2,0,1-2,View Bio
12.0,"Tashjian, Sean 12Tashjian, Sean",0.339,0.954,18-17,59,8,20,2,1,2,12,30,0.508,9,4,6,0,0.446,2,0,1-2,View Bio
2.0,"Cash, Stuart 2Cash, Stuart",0.333,0.666,7-2,6,1,2,0,0,0,1,2,0.333,0,0,3,0,0.333,0,0,1-1,View Bio
20.0,"McCurdy, Nathan 20McCurdy, Nathan",0.327,0.915,17-17,55,11,18,4,1,0,4,24,0.436,13,3,15,0,0.479,0,0,4-4,View Bio
9.0,"McCain, Mac 9McCain, Mac",0.32,0.766,23-23,103,17,33,6,0,0,18,39,0.379,9,4,11,4,0.387,3,0,3-4,View Bio
33.0,"Hadding, Lucas 33Hadding, Lucas",0.313,0.901,13-6,32,15,10,1,0,1,5,14,0.438,5,4,6,1,0.463,0,0,4-5,View Bio
7.0,"Chanis, Joe 7Chanis, Joe",0.309,0.72,18-15,68,15,21,2,0,1,9,26,0.382,3,0,11,2,0.338,0,1,0-2,View Bio
10.0,"Kelly, Ben 10Kelly, Ben",0.299,0.806,20-16,67,12,20,2,2,1,15,29,0.433,7,1,8,2,0.373,0,1,3-3,View Bio
35.0,"Goodson, Connor 35Goodson, Connor",0.293,0.797,18-14,58,9,17,0,0,2,17,23,0.397,6,5,12,2,0.4,1,0,1-1,View Bio
24.0,"Borberg, Evan 24Borberg, Evan",0.262,0.687,12-11,42,5,11,3,0,0,7,14,0.333,6,0,5,1,0.354,0,2,0-0,View Bio
25.0,"Brown, Ian 25Brown, Ian",0.2,0.61,16-12,45,3,9,1,0,1,7,13,0.289,3,5,16,0,0.321,0,0,0-0,View Bio
11.0,"Flaherty, Michael 11Flaherty, Michael",0.195,0.645,15-12,41,6,8,3,0,0,2,11,0.268,8,4,16,0,0.377,0,1,3-3,View Bio
4.0,"Fournier, Josh 4Fournier, Josh",0.192,0.491,9-5,26,2,5,2,0,0,3,7,0.269,1,0,4,1,0.222,0,0,0-0,View Bio
29.0,"Schwartz, Ben 29Schwartz, Ben",0.19,0.515,11-3,21,3,4,0,0,1,4,7,0.333,0,0,8,1,0.182,1,0,1-1,View Bio
31.0,"Rosen, Matthew 31Rosen, Matthew",0.0,0.333,1-0,2,0,0,0,0,0,0,0,0.0,1,0,1,0,0.333,0,0,0-1,View Bio
5.0,"Philpott, Cole 5Philpott, Cole",0.0,0.0,2-0,2,0,0,0,0,0,0,0,0.0,0,0,2,0,0.0,0,0,0-0,View Bio
22.0,"Stoll, Jack 22Stoll, Jack",0.0,0.0,9-0,1,2,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
,Totals,0.318,0.849,23-23,858,173,273,43,5,18,166,380,0.443,89,46,163,15,0.406,11,6,30-42,
,Opponents,0.314,0.91,23-23,846,189,266,53,9,29,168,424,0.501,99,43,187,8,0.409,9,9,44-54,
