Player,2,3,4,5+,Total
"McCain, Mac",11,8,1,-,20
"Ruden, Nikolas",8,4,1,-,13
"Richardson, Sean",6,5,-,1,12
"Crawford, Ethan",9,1,-,1,11
"Kelly, Ben",7,-,-,-,7
"McCurdy, Nathan",5,1,1,-,7
"Tashjian, Sean",5,-,1,-,6
"Borberg, Evan",6,-,-,-,6
"Brown, Ian",5,1,-,-,6
"Goodson, Connor",4,2,-,-,6
"Chanis, Joe",4,-,1,-,5
"Hadding, Lucas",4,1,-,-,5
"Watts, Kelton",3,-,1,-,4
"Fournier, Josh",3,-,-,-,3
"Flaherty, Michael",2,1,-,-,3
"Philpott, Cole",1,-,-,-,1
TEAM,83,24,6,2,115
