Statistic,High,Opponent
INNINGS PITCHED,11.0,Knox (4/13/2024)
RUNS ALLOWED,16.0,Beloit (4/20/2024)
EARNED RUNS,15.0,Beloit (4/20/2024)
WALKS ALLOWED,11.0,Hendrix (3/19/2024)
STRIKEOUTS,17.0,Knox (4/13/2024)
HITS ALLOWED,21.0,Knox (4/14/2024)
DOUBLES ALLOWED,7.0,Illinois Col. (5/5/2024)
TRIPLES ALLOWED,2.0,Neb. Wesleyan (2/25/2024); Monmouth (Ill.) (3/30/2024); Beloit (4/20/2024); Cornell College (4/10/2024)
HOME RUNS ALLOWED,4.0,Wartburg (3/9/2024); Monmouth (Ill.) (3/30/2024); Beloit (4/20/2024)
WILD PITCHES,5.0,Ripon (4/29/2024)
HIT BATTERS,4.0,Hendrix (3/18/2024); Cornell College (4/8/2024); Chicago (4/27/2024)
