Player,2,3,4,5+,Total
"McCain, Mac",5,2,-,1,8
"Kelly, Ben",6,2,-,-,8
"Crawford, Ethan",1,2,2,3,8
"Richardson, Sean",4,1,-,-,5
"Goodson, Connor",2,1,2,-,5
"McCurdy, Nathan",2,2,-,-,4
"Brown, Ian",1,-,3,-,4
"Ruden, Nikolas",4,-,-,-,4
"Chanis, Joe",2,1,-,-,3
"Tashjian, Sean",2,-,1,-,3
"Philpott, Cole",2,-,-,-,2
"Flaherty, Michael",2,-,-,-,2
"Borberg, Evan",1,1,-,-,2
"Schwartz, Ben",2,-,-,-,2
"Fournier, Josh",1,-,-,-,1
"Stoll, Jack",1,-,-,-,1
"Watts, Kelton",1,-,-,-,1
"Hadding, Lucas",-,1,-,-,1
TEAM,39,13,8,4,64
