Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HBP,IBB,W,L,SV,ERA
2/24/2024,at,Neb. Wesleyan,W,7-3,9.0,7,3,2,4,14,1,0,0,0,0,0,0,1,0,0,2.0
2/24/2024,vs,Neb. Wesleyan,W,6-1,9.0,5,1,1,0,7,0,0,0,0,0,0,0,2,0,0,1.0
2/25/2024,vs,Neb. Wesleyan,L,5-6,9.0,10,6,6,5,12,2,2,1,0,0,2,1,2,1,0,6.0
3/2/2024,at,Westminster (Mo.),L,4-5,8.1,7,5,5,4,8,2,0,1,2,0,3,0,2,2,0,5.4
3/2/2024,at,Westminster (Mo.),L,9-11,6.0,13,11,7,3,6,1,0,3,0,0,1,0,2,3,0,10.5
3/3/2024,at,Westminster (Mo.),L,12-13,8.0,16,13,11,1,3,5,0,3,3,0,0,0,2,4,0,12.38
3/3/2024,at,Westminster (Mo.),W,11-4,7.0,8,4,1,5,7,0,0,1,0,0,0,0,3,4,0,1.29
3/9/2024,vs,Kalamazoo,L,0-11,6.0,10,11,11,3,3,3,0,0,0,0,2,0,3,5,0,16.5
3/9/2024,vs,Wartburg,L,4-9,9.0,13,9,6,1,4,2,0,4,0,0,0,0,3,6,0,6.0
3/10/2024,vs,Elmhurst,W,15-1,8.0,4,1,1,3,13,0,0,0,0,1,0,0,4,6,0,1.13
3/10/2024,vs,Elmhurst,W,13-2,7.0,6,2,1,3,12,1,0,0,0,0,0,0,5,6,0,1.29
3/16/2024,,Asbury,W,4-2,9.0,5,2,2,5,8,0,1,0,0,0,1,0,6,6,0,2.0
3/16/2024,at,Maryville (Tenn.),W,3-1,9.0,7,1,1,2,9,0,0,0,0,0,1,0,7,6,0,1.0
3/17/2024,at,Rhodes,L,1-8,8.0,11,8,6,5,5,1,1,0,0,0,1,0,7,7,0,6.75
3/18/2024,at,Hendrix,L,2-12,6.2,10,12,11,5,3,2,0,0,0,0,4,0,7,8,0,14.85
3/19/2024,at,Hendrix,L,8-11,8.0,10,11,10,11,0,1,0,0,1,0,2,0,7,9,0,11.25
3/29/2024,,Monmouth (Ill.),W,13-6,9.0,8,6,4,6,5,2,0,1,0,0,2,0,8,9,0,4.0
3/30/2024,,Monmouth (Ill.),L,13-14,9.0,18,14,14,3,8,2,0,4,0,0,3,0,8,10,0,14.0
3/30/2024,,Monmouth (Ill.),W,13-7,9.0,7,7,7,8,12,0,2,1,0,0,2,1,9,10,0,7.0
4/5/2024,at,Lawrence,L,0-9,8.0,11,9,7,5,12,5,0,1,0,1,1,0,9,11,0,7.88
4/6/2024,at,Lawrence,L,1-5,8.0,8,5,4,7,4,1,0,0,0,0,2,0,9,12,0,4.5
4/6/2024,at,Lawrence,L,1-4,8.0,3,4,1,4,13,1,0,1,0,0,1,0,9,13,0,1.13
4/8/2024,at,Cornell College,L,5-6,8.2,12,6,5,1,8,1,0,1,3,0,4,0,9,14,0,5.19
4/10/2024,at,Cornell College,L,12-13,9.2,14,13,4,7,5,3,0,1,2,0,2,0,9,15,0,3.72
4/10/2024,at,Cornell College,W,13-5,9.0,9,5,5,4,8,3,2,0,1,0,1,0,10,15,0,5.0
4/13/2024,at,Knox,L,6-8,8.0,12,8,8,1,12,4,1,1,0,0,2,0,10,16,0,9.0
4/13/2024,at,Knox,W,12-10,11.0,12,10,10,8,17,2,0,0,2,0,2,0,11,16,0,8.18
4/14/2024,,Knox,W,18-14,9.0,21,14,8,5,7,4,0,2,1,0,1,0,12,16,0,8.0
4/20/2024,,Beloit,L,4-7,9.0,11,7,6,6,5,0,0,1,0,0,2,0,12,17,0,6.0
4/20/2024,,Beloit,L,1-16,7.0,20,16,15,1,4,6,2,4,1,0,0,0,12,18,0,19.29
4/21/2024,,Beloit,W,8-1,9.0,8,1,1,4,14,0,0,1,0,0,1,0,13,18,0,1.0
4/27/2024,at,Chicago,W,9-6,9.0,7,6,6,7,6,1,0,2,0,0,3,0,14,18,0,6.0
4/27/2024,at,Chicago,L,8-15,8.0,13,15,13,8,4,3,0,3,4,1,4,0,14,19,0,14.63
4/28/2024,at,Chicago,L,3-8,8.0,10,8,8,5,5,1,1,1,0,0,2,1,14,20,0,9.0
4/29/2024,at,Ripon,L,5-7,8.0,10,7,5,4,8,3,0,1,1,0,1,0,14,21,0,5.63
4/29/2024,at,Ripon,L,3-10,8.0,14,10,9,4,4,2,0,2,5,0,3,1,14,22,0,10.13
5/4/2024,,Illinois Col.,W,13-3,8.0,10,3,3,0,13,1,1,0,0,0,0,0,15,22,0,3.38
5/5/2024,,Illinois Col.,W,4-2,9.0,9,2,1,1,9,1,0,1,1,0,1,0,16,22,0,1.0
5/5/2024,,Illinois Col.,L,8-13,9.0,19,13,12,0,4,7,0,0,0,0,3,0,16,23,0,12.0
Total,,,,277-289,323.7,408,289,238,159,301,74,13,42,27,3,60,4,16,23,0,
