Statistic,High,Player,Opponent
INNINGS PITCHED,8.0,G. Nasif,Illinois Col. (5/5/2024)
RUNS ALLOWED,9.0,J. Hull,Westminster (Mo.) (3/3/2024)
EARNED RUNS,7.0,J. Hull; I. Feld,Westminster (Mo.) (3/3/2024); Kalamazoo (3/9/2024)
WALKS ALLOWED,5.0,I. Feld; R. Jungers,Monmouth (Ill.) (3/29/2024); Hendrix (3/19/2024)
STRIKEOUTS,11.0,J. Gutta; J. Runkel,Elmhurst (3/10/2024); Beloit (4/21/2024); Lawrence (4/6/2024)
HITS ALLOWED,11.0,J. Hull,Illinois Col. (5/5/2024)
DOUBLES ALLOWED,4.0,J. Hull; I. Feld,Illinois Col. (5/5/2024); Westminster (Mo.) (3/3/2024); Lawrence (4/5/2024)
TRIPLES ALLOWED,2.0,J. Runkel; J. Hull,Monmouth (Ill.) (3/30/2024); Cornell College (4/10/2024)
HOME RUNS ALLOWED,4.0,J. Hull,Wartburg (3/9/2024)
WILD PITCHES,3.0,G. Nasif,Cornell College (4/8/2024)
HIT BATTERS,3.0,J. Gutta,Hendrix (3/18/2024); Cornell College (4/8/2024)
