Player,Longest,Current
"Kelly, Ben",12,3
"Ruden, Nikolas",11,-
"McCain, Mac",10,-
"Richardson, Sean",10,10
"Crawford, Ethan",9,-
"McCurdy, Nathan",9,-
"Brown, Ian",8,1
"Chanis, Joe",7,-
"Tashjian, Sean",6,1
"Borberg, Evan",5,4
"Goodson, Connor",5,2
"Watts, Kelton",4,-
"Hadding, Lucas",4,4
"Flaherty, Michael",3,1
"Fournier, Josh",2,1
"Philpott, Cole",2,-
"Schwartz, Ben",2,1
"Cash, Stuart",1,1
"Stoll, Jack",1,-
"Waters, Jackson",1,-
