#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
39.0,"Runkel, Jakob 39Runkel, Jakob",4.14,1.43,2-2,11-8,0,0-0,1,41.1,44,25,19,15,72,5,5,4,167,0.263,2,7,1,0,1,View Bio
19.0,"Feld, Ian 19Feld, Ian",5.02,1.4,5-2,10-10,0,0-0,0,52.0,51,33,29,22,51,15,1,7,204,0.25,0,9,0,0,1,View Bio
23.0,"Hull, Jake 23Hull, Jake",6.94,1.68,3-4,11-11,0,0-0,0,59.2,87,54,46,13,27,16,3,13,254,0.343,4,4,1,2,5,View Bio
17.0,"Cerrato, Ben 17Cerrato, Ben",0.0,1.0,0-0,4-0,0,0-0,0,3.0,0,0,0,3,1,0,0,0,8,0.0,2,2,0,0,0,View Bio
15.0,"Jungers, Ryan 15Jungers, Ryan",4.34,1.62,1-2,16-2,0,0-0,2,29.0,31,17,14,16,24,6,0,2,113,0.274,3,4,0,2,2,View Bio
3.0,"Nasif, Garrett 3Nasif, Garrett",4.38,1.46,2-1,9-3,0,0-0,1,24.2,31,14,12,5,22,2,0,2,100,0.31,7,6,0,0,2,View Bio
37.0,"Shaul, Daniel 37Shaul, Daniel",7.91,1.91,0-1,9-0,0,0-0,1,19.1,23,20,17,14,14,2,2,1,77,0.299,0,2,0,2,1,View Bio
42.0,"Gutta, Jackson 42Gutta, Jackson",7.98,1.57,1-4,9-5,0,0-0,0,29.1,32,29,26,14,40,5,0,5,118,0.271,1,11,0,1,1,View Bio
40.0,"Nakamoto, Matthew 40Nakamoto, Matthew",9.15,2.13,0-3,12-0,0,0-0,1,20.2,26,24,21,18,20,6,0,2,82,0.317,1,7,0,2,0,View Bio
18.0,"Kajita, Kenji 18Kajita, Kenji",9.24,2.29,1-0,7-0,0,0-0,0,12.2,16,19,13,13,12,4,0,1,55,0.291,3,4,0,2,0,View Bio
38.0,"Griffin, Ajay 38Griffin, Ajay",10.31,2.51,0-3,10-0,0,0-0,0,18.1,29,25,21,17,11,5,0,0,80,0.363,0,2,1,4,1,View Bio
8.0,"Haaland, Cam 8Haaland, Cam",10.8,1.8,0-0,2-0,0,0-0,0,1.2,2,2,2,1,1,1,0,0,7,0.286,0,0,0,0,0,View Bio
24.0,"Borberg, Evan 24Borberg, Evan",11.57,3.43,1-0,1-0,0,0-0,0,2.1,7,3,3,1,2,2,0,1,14,0.5,0,1,0,0,0,View Bio
47.0,"Plishker, Campbell 47Plishker, Campbell",13.5,2.5,0-1,4-0,0,0-0,0,4.0,8,6,6,2,2,1,1,1,20,0.4,1,1,0,0,1,View Bio
6.0,"Natori, Neill 6Natori, Neill",15.19,3.0,0-0,5-0,0,0-0,0,5.1,13,12,9,3,2,2,1,2,30,0.433,1,0,0,0,1,View Bio
2.0,"Cash, Stuart 2Cash, Stuart",18.0,4.0,0-0,1-0,0,0-0,0,1.0,4,3,2,0,0,1,0,1,8,0.5,1,0,0,0,0,View Bio
36.0,"Ros, Augie 36Ros, Augie",18.0,6.0,0-0,2-0,0,0-0,0,1.0,4,3,2,2,0,1,0,0,7,0.571,1,0,0,0,0,View Bio
,Totals,6.58,1.74,16-23,123-39,0,0,6,325.1,408,289,238,159,301,74,13,42,1344,0.304,27,60,3,15,16,
,Opponents,5.66,1.71,23-16,142-39,2,2,8,332.1,415,277,209,154,269,74,9,36,1371,0.303,35,69,7,19,13,
