Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Assistant Coach,Men's Team Number of Assistant Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Assistant Coach,Women's Team Number of Assistant Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Assistant Coach,Coed Team Number of Assistant Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,6985,7,32597,1.50,2125,4,21250,0.40,,,,
2004,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,6648,11,31385,2.33,2690,4,7126,1.51,,,,
2005,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,4948,14,33465,2.07,1749,8,12167,1.15,,,,
2006,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,6383,10,26053,2.45,3132,6,11253,1.67,,,,
2007,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,7644,10,38220,2.00,3885,4,38850,0.40,,,,
2008,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,6135,13,27502,2.90,3446,8,34460,0.80,,,,
2009,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,5727,13,28635,2.60,3403,7,29776,0.80,,,,
2010,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,6121,12,29381,2.50,4318,7,30226,1.00,,,,
2011,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,6815,14,25108,3.80,3668,7,21397,1.20,,,,
2012,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,9107,13,34316,3.45,5195,6,29686,1.05,,,,
2013,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,8838,17,34225,4.39,5015,11,28882,1.91,,,,
2014,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,9643,16,34516,4.47,3867,9,23676,1.47,,,,
2015,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,10567,15,30778,5.00,8653,9,25533,3.00,,,,
2016,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,12122,14,31025,5.47,11653,7,24350,3.35,,,,
2017,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,10446,17,28735,6.18,14098,7,29197,3.38,,,,
2018,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,16318,12,33077,5.92,9167,9,26191,3.15,,,,
2019,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,13231,14,26924,6.88,9387,8,24949,3.01,,,,
2020,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,11917,15,28647,6.24,10637,8,28271,3.01,,,,
2021,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,13498,18,29739,8.17,17361,7,32757,3.71,,,,
2022,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,14572,21,31004,9.87,15908,7,29616,3.76,,,,
