Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2003,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,440,563,1003,,,,,,,,,62630,,,62630,78877,62440,,141317,,,,,,,,,30411,29813,,60224,,,,,,,,,,,,,,,,,181529,,,181529,9049,21223,,30272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16755,21534,,38289,,25947,,25947,,,,,,,,,,,,,,,,,,,,,,,,,9304,10003,,19307,,,,,,,,,,,,,,33595,,33595,,,,,,,,,42861,,,42861,,,,,431416,204555,,138000,773971
2004,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,467,555,1022,,,,,,,,,75434,,,75434,98540,71510,,170050,,,,,,,,,33349,35319,,68668,,,,,,,,,,,,,,,,,238201,,,238201,10282,29812,,40094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20516,14453,,34969,,42101,,42101,,,,,,,,,,,,,,,,,,,,,,,,,7398,9666,,17064,,,,,,,,,,,,,,37614,,37614,,,,,,,,,60355,,,60355,,,,,544075,240475,,300812,1085362
2005,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,475,535,1010,,,,,,,,,66924,,,66924,90151,70979,,161130,,,,,,,,,39033,34185,,73218,,,,,,,,,,,,,,,,,221449,,,221449,9789,31781,,41570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16356,19950,,36306,,49726,,49726,,,,,,,,,,,,,,,,,,,,,,,,,8960,8272,,17232,,,,,,,,,,,,,,39801,,39801,,,,,,,,,64885,,,64885,,,,,517547,254694,,308213,1080454
2006,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,475,534,1009,,,,,,,,,77145,,,77145,86477,66049,,152526,,,,,,,,,38970,38970,,77940,,,,,,,,,,,,,,,,,210121,,,210121,14270,32383,,46653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22338,18404,,40742,,40441,,40441,,,,,,,,,,,,,,,,,,,,,,,,,15100,9120,,24220,,,,,,,,,,,,,,38040,,38040,,,,,,,,,,,,,,,,,464421,243407,,363199,1071027
2007,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,476,508,984,,,,,,,,,82568,,,82568,90348,82906,,173254,,,,,,,,,54473,46831,,101304,,,,,,,,,,,,,,,,,225146,,,225146,13308,29952,,43260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23789,14083,,37872,,47872,,47872,,,,,,,,,,,,,,,,,,,,,,,,,5921,10029,,15950,,,,,,,,,,,,,,37877,,37877,,,,,,,,,,,,,,,,,495553,269550,,240012,1005115
2008,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,417,447,864,,,,,,,,,83183,,,83183,89537,85043,,174580,,,,,,,,,47307,47978,,95285,,,,,,,,,,,,,,,,,225021,,,225021,34409,38970,,73379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32648,33201,,65849,,40631,,40631,,,,,,,,,18968,18403,,37371,,,,,,,,,,,,,9419,10170,,19589,,,,,,,,,,,,,,39120,,39120,,,,,,,,,,,,,,,,,540492,313516,,244259,1098267
2009,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,425,434,859,,,,,,,,,100018,,,100018,98037,80759,,178796,,,,,,,,,66538,63497,,130035,,,,,,,,,,,,,,,,,264668,,,264668,37923,25799,,63722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29692,30996,,60688,,59273,,59273,,,,,,,,,22777,23115,,45892,,,,,,,,,,,,,10820,12686,,23506,,,,,,,,,,,,,,51827,,51827,,,,,,,,,,,,,,,,,630473,347952,,214046,1192471
2010,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,433,413,846,,,,,,,,,91571,,,91571,107714,82524,,190238,,,,,,,,,62320,60323,,122643,,,,,,,,,,,,,,,,,293785,,,293785,49533,36693,,86226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44268,44581,,88849,,60826,,60826,,,,,,,,,20769,26055,,46824,,,,,,,,,,,,,8281,10688,,18969,,,,,,,,,,,,,,57205,,57205,,,,,,,,,,,,,,,,,678241,378895,,540126,1597262
2011,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,476,427,903,,,,,,,,,122523,,,122523,88225,80496,,168721,,,,,,,,,69731,51685,,121416,,,,,,,,,,,,,,,,,288201,,,288201,34163,44212,,78375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55055,60427,,115482,,66342,,66342,,,,,,,,,23072,22564,,45636,,,,,,,,,,,,,22222,,,22222,,,,,,,,,,,,,,40666,,40666,,,,,,,,,,,,,,,,,703192,366392,,633093,1702677
2012,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,485,468,953,,,,,,,,,126131,,,126131,125952,87489,,213441,,,,,,,,,70763,60448,,131211,,,,,,,,,,,,,,,,,298744,,,298744,32998,36980,,69978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60419,62667,,123086,,56730,,56730,,,,,,,,,26271,26505,,52776,,,,,,,,,,,,,16301,29944,,46245,,,,,,,,,,,,,,47678,,47678,,,,,,,,,,,,,,,,,757579,408441,,629585,1795605
