0,1,2,3
Grinnell College,335,47,7th
Zach McGriff,76,4,t-5th
Evan Bunis,77,5,t-7th
Nirabh Koirala,90,18,t-52nd
Major May,92,20,t-58th
John Zbaracki,119,47,70th
