0,1,2,3,4,5,6
Grinnell College,358,342,344,1044,180,6th
Zach McGriff,82,80,78,240,24,t-7th
Evan Bunis,85,82,82,249,33,t-17th
Nirabh Koirala,92,88,94,274,58,31st
Major May,99,92,90,281,65,32nd
John Zbaracki,131,118,116,365,149,35th
