Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Athletic Student Aid,Women's Team Athletic Student Aid,Coed Team Athletic Student Aid
2003,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2004,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2005,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2006,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2007,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2008,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2009,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2010,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2011,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2012,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2013,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2014,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2015,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2016,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2017,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2018,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2019,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2020,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2021,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
2022,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,0,0,
