Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Head Coach,Men's Team Number of Head Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Head Coach,Women's Team Number of Head Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Head Coach,Coed Team Number of Head Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,18537,10,55667,3.33,18154,10,54517,3.33,,,,
2004,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,22233,10,31761,7.00,19409,10,27727,7.00,,,,
2005,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,23306,10,33294,7.00,20353,10,29076,7.00,,,,
2006,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,24089,9,72997,2.97,21309,9,64573,2.97,,,,
2007,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,24314,10,85312,2.85,21938,10,80066,2.74,,,,
2008,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,24960,10,79744,3.13,22508,10,73797,3.05,,,,
2009,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,24030,10,76773,3.13,19608,10,66020,2.97,,,,
2010,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,24398,10,82426,2.96,21817,10,73706,2.96,,,,
2011,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,25271,10,85375,2.96,22461,10,75882,2.96,,,,
2012,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,26241,10,88652,2.96,23761,10,80274,2.96,,,,
2013,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,26939,10,91010,2.96,24284,10,69983,3.47,,,,
2014,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,28989,10,97936,2.96,24839,10,71582,3.47,,,,
2015,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,31200,10,105405,3.00,27410,10,78991,3.00,,,,
2016,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,37365,10,103792,3.60,34380,10,95500,3.60,,,,
2017,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,39604,10,110011,3.60,37067,10,102964,3.60,,,,
2018,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,38438,10,106772,3.60,32075,10,89097,3.60,,,,
2019,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,41822,10,116172,3.60,32393,10,89981,3.60,,,,
2020,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,26986,4,77103,1.40,19953,4,57009,1.40,,,,
2021,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,36946,10,92365,4.00,26878,10,79053,3.40,,,,
2022,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,38935,10,97338,4.00,30453,10,89568,3.40,,,,
