Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Assistant Coach,Men's Team Number of Assistant Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Assistant Coach,Women's Team Number of Assistant Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Assistant Coach,Coed Team Number of Assistant Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,7495,11,27759,2.97,6209,9,24087,2.32,,,,
2004,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,6184,12,10601,7.00,6550,8,7486,7.00,,,,
2005,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,6914,13,12840,7.00,6832,9,12298,5.00,,,,
2006,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,6406,14,25051,3.58,5419,9,21580,2.26,,,,
2007,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,6341,18,25364,4.50,2712,15,11084,3.67,,,,
2008,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,6035,19,24606,4.66,3893,14,14534,3.75,,,,
2009,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,6583,16,27791,3.79,4862,12,24933,2.34,,,,
2010,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,7744,17,32506,4.05,4672,15,32444,2.16,,,,
2011,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,8612,16,34448,4.00,6239,13,34661,2.34,,,,
2012,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,8707,17,34910,4.24,6879,13,35771,2.50,,,,
2013,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,7173,18,31415,4.11,5491,14,26327,2.92,,,,
2014,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,7071,21,33902,4.38,5026,17,32121,2.66,,,,
2015,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,7825,20,39125,4.00,6645,16,39524,3.00,,,,
2016,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,10638,20,44792,4.75,6466,17,35119,3.13,,,,
2017,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,9936,24,40694,5.86,6962,21,37392,3.91,,,,
2018,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,12172,20,42485,5.73,11599,17,46615,4.23,,,,
2019,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,13596,18,44822,5.46,11754,18,44448,4.76,,,,
2020,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,6319,5,35106,0.90,9102,6,48329,1.13,,,,
2021,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,13412,21,44425,6.34,9463,22,45258,4.60,,,,
2022,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,13246,21,41704,6.67,13522,19,47843,5.37,,,,
