Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2003,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,669,816,1485,,,,,,,,,24232,,,24232,23670,20850,,44520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55300,,,55300,11550,5550,,17100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17350,19257,,36607,,20570,,20570,,,,,17700,20200,,37900,,,,,,,,,,,,,,,,,10650,7540,,18190,6468,6375,,12843,6468,6375,,12843,8464,6676,,15140,,20210,,20210,,,,,,,,,,,,,,,,,181852,133603,,,315455
2004,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,694,835,1529,,,,,,,,,53972,,,53972,54617,46113,,100730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121929,,,121929,40383,32817,,73200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000,36415,,70415,,56960,,56960,,,,,48733,49733,,98466,,,,,,,,,,,,,,,,,33483,24850,,58333,29023,26556,,55579,31893,29026,,60919,38704,33782,,72486,,62010,,62010,,,,,,,,,,,,,,,,,486737,398262,,54910,939909
2005,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,701,845,1546,,,,,,,,,57116,,,57116,61166,48616,,109782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132798,,,132798,42566,34966,,77532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36850,47385,,84235,,59176,,59176,,,,,53374,53374,,106748,,,,,,,,,,,,,,,,,35466,28800,,64266,30266,28316,,58582,33366,31116,,64482,42163,37078,,79241,,44740,,44740,,,,,,,,,,,,,,,,,525131,413567,,70293,1008991
2006,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,701,845,1546,,,,,,,,,70001,,,70001,67173,51461,,118634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143358,,,143358,31829,36888,,68717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40700,48566,,89266,,62883,,62883,,,,,56008,56888,,112896,,,,,,,,,,,,,,,,,38307,30666,,68973,22102,19409,,41511,33153,29115,,62268,43846,39414,,83260,,47066,,47066,,,,,,,,,,,,,,,,,546477,422356,,233880,1202713
2007,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,753,864,1617,,,,,,,,,87815,,,87815,86295,57885,,144180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224058,,,224058,43972,43695,,87667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76005,71336,,147341,,63757,,63757,,,,,91522,92805,,184327,,,,,,,,,,,,,,,,,50494,46876,,97370,59865,56087,,115952,73669,64475,,138144,74229,79423,,153652,,57692,,57692,,,,,,,,,,,,,,,,,867924,634031,,174669,1676624
2008,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,760,876,1636,,,,,,,,,114952,,,114952,83251,57725,,140976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188566,,,188566,50725,50800,,101525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68783,68738,,137521,,52421,,52421,,,,,74816,74530,,149346,,,,,,,,,,,,,,,,,57926,54870,,112796,35006,30668,,65674,49637,43782,,93419,66583,56314,,122897,,63974,,63974,,,,,,,,,,,,,,,,,790245,553822,,621355,1965422
2009,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,764,863,1627,,,,,,,,,101648,,,101648,91166,67155,,158321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164049,,,164049,49792,55758,,105550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69209,74503,,143712,,55561,,55561,,,,,84727,85504,,170231,,,,,,,,,,,,,,,,,55466,53745,,109211,36349,22942,,59291,54524,34413,,88937,61486,53634,,115120,,54222,,54222,,,,,,,,,,,,,,,,,768416,557437,,731727,2057580
2010,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,727,875,1602,,,,,,,,,100104,,,100104,91893,61937,,153830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179693,,,179693,45158,58224,,103382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63638,56160,,119798,,53742,,53742,,,,,84408,85608,,170016,,,,,,,,,,,,,,,,,62241,58573,,120814,41282,36951,,78233,68830,62337,,131167,62809,52842,,115651,,75237,,75237,,,,,,,,,,,,,,,,,800056,601611,,833621,2235288
2011,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,744,894,1638,,,,,,,,,117511,,,117511,100155,74299,,174454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185006,,,185006,52248,60932,,113180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73076,73346,,146422,,50252,,50252,,,,,103991,104260,,208251,,,,,,,,,,,,,,,,,66576,65410,,131986,41105,41679,,82784,72977,72995,,145972,65604,61853,,127457,,60136,,60136,,,,,,,,,,,,,,,,,878249,665162,,969446,2512857
2012,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,729,880,1609,,,,,,,,,113224,,,113224,100408,75949,,176357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195034,,,195034,51912,59431,,111343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68071,80367,,148438,,53006,,53006,,,,,107755,107667,,215422,,,,,,,,,,,,,,,,,63911,62385,,126296,43297,42235,,85532,76876,74933,,151809,63435,65838,,129273,,55575,,55575,,,,,,,,,,,,,,,,,883923,677386,,1006178,2567487
2013,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,750,909,1659,,,,,,,,,118281,,,118281,105060,86529,,191589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191553,,,191553,56307,60346,,116653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70627,54540,,125167,,67022,,67022,,,,,96097,98709,,194806,,,,,,,,,,,,,,,,,67375,67323,,134698,43973,44059,,88032,63929,63481,,127410,65963,68455,,134418,,66191,,66191,,,,,,,,,,,,,,,,,879165,676655,,954173,2509993
2014,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,746,920,1666,,,,,,,,,117523,,,117523,105712,107577,,213289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215679,,,215679,60143,71430,,131573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73531,65368,,138899,,67602,,67602,,,,,99985,101173,,201158,,,,,,,,,,,,,,,,,80877,73327,,154204,45549,42847,,88396,65370,62321,,127691,67909,66163,,134072,,96157,,96157,,,,,,,,,,,,,,,,,932278,753965,,862496,2548739
2015,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,744,916,1660,,,,,,,,,161582,,,161582,118157,118945,,237102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226499,,,226499,58804,84120,,142924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80359,71278,,151637,,73730,,73730,,,,,120105,122712,,242817,,,,,,,,,,,,,,,,,78698,76152,,154850,52051,46869,,98920,77472,69518,,146990,85251,71169,,156420,,75219,,75219,,,,,,,,,,,,,,,,,1058978,809712,,907901,2776591
2016,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,743,910,1653,,,,,,,,,234970,,,234970,157008,130850,,287858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269786,,,269786,84938,97277,,182215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102228,80122,,182350,,116610,,116610,,,,,150814,149415,,300229,,,,,,,,,,,,,,,,,68291,67586,,135877,75977,71565,,147542,86576,82404,,168980,107835,93916,,201751,,80685,,80685,,,,,,,,,,,,,,,,,1338423,970430,,976704,3285557
2017,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,768,888,1656,,,,,,,,,205592,,,205592,164664,151432,,316096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295901,,,295901,83343,98572,,181915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106485,101678,,208163,,146350,,146350,,,,,152772,153640,,306412,,,,,,,,,,,,,,,,,72099,68515,,140614,86971,81818,,168789,90720,85853,,176573,111272,97571,,208843,,85771,,85771,,,,,,,,,,,,,,,,,1369819,1071200,,1108861,3549880
2018,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,763,916,1679,,,,,,,,,203034,,,203034,125755,138202,,263957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332888,,,332888,82075,66355,,148430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105196,87011,,192207,,147873,,147873,,,,,161114,164872,,325986,,,,,,,,,,,,,,,,,77004,74514,,151518,91383,85713,,177096,101091,98365,,199456,115004,96923,,211927,,122868,,122868,,,,,,,,,,,,,,,,,1394544,1082696,,1075580,3552820
2019,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,795,899,1694,,,,,,,,,155223,,,155223,117672,151888,,269560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372562,,,372562,58620,66249,,124869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118306,90249,,208555,,111295,,111295,,,,,163634,161267,,324901,,,,,,,,,,,,,,,,,60712,61487,,122199,74165,76655,,150820,78127,81079,,159206,112939,100639,,213578,,131001,,131001,,,,,,,,,,,,,,,,,1311960,1031809,,1192030,3535799
2020,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,681,776,1457,,,,,,,,,145590,,,145590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64300,55752,,120052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95227,,95227,,,,,,,,,,,,,,,,,,,,,,,,,33026,31305,,64331,,,,,49822,61426,,111248,,,,,,,,,,,,,,,,,,,,,,,,,292738,243710,,2063493,2599941
2021,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,809,900,1709,,,,,,,,,257680,,,257680,130999,150627,,281626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468784,,,468784,81045,74673,,155718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133338,84580,,217918,,155180,,155180,,,,,153318,158099,,311417,,,,,,,,,,,,,,,,,84396,90754,,175150,71547,79658,,151205,81141,80634,,161775,37920,38520,,76440,,142055,,142055,,,,,,,,,,,,,,,,,1500168,1054780,,1088577,3643525
2022,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,,,,,,,,,325050,,,325050,140454,194253,,334707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500148,,,500148,128794,117587,,246381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134072,113952,,248024,,195682,,195682,,,,,169843,170753,,340596,,,,,,,,,,,,,,,,,86944,88699,,175643,77386,76193,,153579,92300,90744,,183044,48740,51805,,100545,,184544,,184544,,,,,,,,,,,,,,,,,1703731,1284212,,1283639,4271582
