Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Recruiting Expenses,Women's Team Recruiting Expenses,Coed Team Recruiting Expenses
2003,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,12582,12051,
2004,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,17742,17742,
2005,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,24134,24134,
2006,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,25204,25204,
2007,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,33702,27306,
2008,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,32707,24294,
2009,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,8352,2957,
2010,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,11848,5079,
2011,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,33999,23286,
2012,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,23310,17290,
2013,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,34487,23971,
2014,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,40751,26116,
2015,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,69177,33784,
2016,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,67746,32653,
2017,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,57782,29876,
2018,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,72787,38249,
2019,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,63129,31815,
2020,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,26689,11374,
2021,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,44846,19756,
2022,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,44932,17111,
