Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2003,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,669,816,1485,,,,,,,,,52839,,,52839,56971,54590,,111561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116388,,,116388,37954,31197,,69151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38038,39651,,77689,,49678,,49678,,,,,48755,47338,,96093,,,,,,,,,,,,,,,,,32454,17436,,49890,36889,23561,,60450,36889,23561,,60450,27762,22490,,50252,,41775,,41775,,,,,,,,,,,,,,,,,484939,351277,,,836216
2004,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,694,835,1529,,,,,,,,,55167,,,55167,54290,43691,,97981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118807,,,118807,41413,31783,,73196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32805,35506,,68311,,57472,,57472,,,,,51173,52469,,103642,,,,,,,,,,,,,,,,,33511,29115,,62626,29606,26354,,55960,32768,28723,,61491,38502,34126,,72628,,60755,,60755,,,,,,,,,,,,,,,,,488042,399994,,56272,944308
2005,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,701,845,1546,,,,,,,,,59021,,,59021,56541,47993,,104534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128112,,,128112,47759,33984,,81743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35952,47598,,83550,,61237,,61237,,,,,53950,55559,,109509,,,,,,,,,,,,,,,,,35816,27196,,63012,29973,28664,,58637,32925,31638,,64563,42456,36551,,79007,,39428,,39428,,,,,,,,,,,,,,,,,522505,409848,,72930,1005283
2006,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,701,845,1546,,,,,,,,,70001,,,70001,67173,51461,,118634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139432,,,139432,31829,36888,,68717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38605,47384,,85989,,62883,,62883,,,,,56008,56888,,112896,,,,,,,,,,,,,,,,,38307,26457,,64764,22102,19409,,41511,33153,29115,,62268,43578,39414,,82992,,43920,,43920,,,,,,,,,,,,,,,,,540188,413819,,222577,1176584
2007,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,753,864,1617,,,,,,,,,87815,,,87815,86295,57885,,144180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224058,,,224058,43972,43695,,87667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76005,71336,,147341,,63757,,63757,,,,,91522,92805,,184327,,,,,,,,,,,,,,,,,50494,46876,,97370,59865,56087,,115952,73669,64475,,138144,74229,79423,,153652,,57692,,57692,,,,,,,,,,,,,,,,,867924,634031,,174669,1676624
2008,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,760,876,1636,,,,,,,,,114952,,,114952,83251,57725,,140976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188566,,,188566,50725,50800,,101525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68783,68738,,137521,,52421,,52421,,,,,74816,74530,,149346,,,,,,,,,,,,,,,,,57926,54870,,112796,35006,30668,,65674,49637,43782,,93419,66583,56314,,122897,,63974,,63974,,,,,,,,,,,,,,,,,790245,553822,,621355,1965422
2009,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,764,863,1627,,,,,,,,,101648,,,101648,91166,67155,,158321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164049,,,164049,49792,55758,,105550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69209,74503,,143712,,55561,,55561,,,,,84727,85504,,170231,,,,,,,,,,,,,,,,,55466,53745,,109211,36349,22942,,59291,54524,34413,,88937,61486,53634,,115120,,54222,,54222,,,,,,,,,,,,,,,,,768416,557437,,731727,2057580
2010,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,727,875,1602,,,,,,,,,100104,,,100104,91893,61937,,153830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179693,,,179693,45158,58224,,103382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63638,56160,,119798,,53742,,53742,,,,,84408,85608,,170016,,,,,,,,,,,,,,,,,62241,58573,,120814,41282,36951,,78233,68830,62337,,131167,62809,52842,,115651,,75237,,75237,,,,,,,,,,,,,,,,,800056,601611,,833621,2235288
2011,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,744,894,1638,,,,,,,,,117511,,,117511,100155,74299,,174454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185006,,,185006,52248,60932,,113180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73076,73346,,146422,,50252,,50252,,,,,103991,104260,,208251,,,,,,,,,,,,,,,,,66576,65410,,131986,41105,41679,,82784,72977,72995,,145972,65604,61853,,127457,,60136,,60136,,,,,,,,,,,,,,,,,878249,665162,,969446,2512857
2012,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,729,880,1609,,,,,,,,,113224,,,113224,100408,75949,,176357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195034,,,195034,51912,59431,,111343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68071,80367,,148438,,53006,,53006,,,,,107755,107667,,215422,,,,,,,,,,,,,,,,,63911,62385,,126296,43297,42235,,85532,76876,74933,,151809,63435,65838,,129273,,55575,,55575,,,,,,,,,,,,,,,,,883923,677386,,1006178,2567487
