Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Lennon, John",SR-4,4:06.38,2019 Dick Young Invite,"Apr 20, 2019"
,"O'Reilly, Sean",SR-4,4:12.13,Monmouth College Fighting Scots Outdoor Invitational,"May 4, 2019"
,"O'Reilly, Declan",SO-2,4:14.23,Mustang Open,"Apr 13, 2019"
